引脚序号 ,引脚名称 ,引脚功能定义 ,连接关系说明
1 ,GPIO1 ,XTAL_32K_P ,连接32.768KHz 晶振
2 ,GPIO2 ,I2S_MCLK ,连接ES8311 的MCLK 脚
3 ,GPIO3 ,I2S_DSDIN ,连接ES8311 的DSDIN 脚
4 ,GPIO4 ,I2S_SCLK ,连接ES8311 的SCLK 脚
5 ,GPIO5 ,I2S_ASDOUT ,连接ES8311 的ASDOUT 脚
6 ,GPIO6 ,I2S_LRCK ,连接ES8311 的LRCK 脚
7 ,GPIO7 ,SPI2_CS ,SPI 屏幕接口的 SPI_CS 脚
8 ,GPIO8 ,SPI2_MOSI ,SPI 屏幕接口的 SPI_MOSI 脚
9 ,VDD_LP ,电源输入 ,连接3.3V 电源
10 ,GPIO9 ,SPI2_SCK ,SPI 屏幕接口的 SPI_SCK 脚
11 ,GPIO10 ,SPI2_MISO ,SPI 屏幕接口的 SPI_MISO 脚
12 ,GPIO11 ,PA_CTRL ,连接NS4150B 的CTRL 脚
13 ,GPIO12 ,C6_WKUP ,连接ESP-C6 模组的 IO2
14 ,GPIO13 ,LED1 ,连接三色LED 灯的蓝灯
15 ,GPIO14 ,LED0 ,连接三色LED 灯的绿灯
16 ,GPIO15 ,CTP-INT_RTP-PEN ,DSI、SPI 屏幕接口的触摸信号
17 ,GPIO16 ,CTP-SCL_RTP-SCK ,DSI、SPI 屏幕接口的触摸信号
18 ,GPIO17 ,CTP-SDA_RTP-MOSI ,DSI、SPI 屏幕接口的触摸信号
19 ,GPIO18 ,CTP-RST_RTP-CS ,DSI、SPI 屏幕接口的触摸信号
20 ,GPIO19 ,C6_EN ,连接ESP-C6 模组的 EN 脚
21 ,VDD_IO_0 ,电源输入 ,连接3.3V 电源
22 ,GPIO20 ,LCD_DC ,SPI 屏幕接口的命令/数据选择
23 ,GPIO21 ,LCD_PWREN ,DSI、SPI 屏幕接口的电源控制脚
24 ,GPIO22 ,LCD_RST ,DSI、SPI 屏幕接口的复位引脚
25 ,GPIO23 ,BL_CTR ,DSI、SPI 屏幕接口的背光控制脚
26 ,VDD_HP_0 ,电源输入 ,连接1.3V 电源
27 ,FLASH_CS ,专用 ,连接GD25Q128 的 CS 脚
28 ,FLASH_Q ,专用 ,连接GD25Q128 的 DO(IO1)脚
29 ,FLASH_WP ,专用 ,连接GD25Q128 的 WP(IO2)脚
30 ,VDD_FLASHIO ,电源输入 ,连接MCU 的VDDO_FLASH 脚
31 ,FLASH_HOLD ,专用 ,连接GD25Q128 的 HOLD(IO3)脚
32 ,FLASH_CK ,专用 ,连接GD25Q128 的 CLK 脚
33 ,FLASH_D ,专用 ,连接GD25Q128 的 DI(IO0)脚
34 ,DSI_REXT ,专用 ,/
35 ,DSI_DATAP1 ,专用 ,DSI 屏幕接口的DSI_D1P 脚
36 ,DSI_DATAN1 ,专用 ,DSI 屏幕接口的DSI_D1N 脚
37 ,DSI_CLKN ,专用 ,DSI 屏幕接口的DSI_CKN 脚
38 ,DSI_CLKP ,专用 ,DSI 屏幕接口的DSI_CKP 脚
39 ,DSI_DATAP0 ,专用 ,DSI 屏幕接口的DSI_D0P 脚
40 ,DSI_DATAN0 ,专用 ,DSI 屏幕接口的DSI_D0N 脚
41 ,VDD_MIPI_DPHY ,电源输入 ,连接MCU 的VDDO_3 脚
42 ,CSI_DATAN0 ,专用 ,CSI 摄像头接口的CSI_D0N 脚
43 ,CSI_DATAP0 ,专用 ,CSI 摄像头接口的CSI_D0P 脚
44 ,CSI_CLKP ,专用 ,CSI 摄像头接口的CSI_CLKP 脚
45 ,CSI_CLKN ,专用 ,CSI 摄像头接口的CSI_CLKP 脚
46 ,CSI_DATAN1 ,专用 ,CSI 摄像头接口的CSI_D1N 脚
47 ,CSI_DATAP1 ,专用 ,CSI 摄像头接口的CSI_D1P 脚
48 ,CSI_REXT ,专用 ,/
49 ,USB_DM ,专用 ,连接USB OTG 接口的 D-脚
50 ,USB_DP ,专用 ,连接USB OTG 接口的 D+脚
51 ,VDD_USBPHY ,电源输入 ,连接3.3V 电源
52 ,GPIO24 ,USB_D- ,连接USB 通信接口的 DN 脚
53 ,GPIO25 ,USB_D+ ,连接USB 通信接口的 DP 脚
54 ,NC ,/ ,/
55 ,GPIO26 ,CSI_RST ,CSI 摄像头接口的IO0 脚
56 ,GPIO27 ,CSI_PWDN ,CSI 摄像头接口的IO1 脚
57 ,GPIO28 ,I2C_SDA,"CSI 摄像头接口的SDA 脚
ES8311 的CDATA 脚"
58 ,GPIO29 ,I2C_SCL,"CSI 摄像头接口的SCL 脚
ES8311 的CCLK 脚"
